Extracting licenses from Syft SBOM...
1to2 | 1.0.0 | MIT
normalize-path | 2.1.1 | MIT
normalize-path | 3.0.0 | MIT
normalize-path | 3.0.0 | MIT
normalize-url | 2.0.1 | MIT
notevil | 1.3.3 | MIT
npm-bundled | 1.1.2 | ISC
npm-normalize-package-bin | 1.0.1 | ISC
npm-packlist | 1.4.8 | ISC
npmlog | 4.1.2 | ISC
npmlog | 6.0.2 | ISC
number-is-nan | 1.0.1 | MIT
object-assign | 4.1.1 | MIT
object-copy | 0.1.0 | MIT
object-inspect | 1.13.4 | MIT
object-is | 1.1.6 | MIT
object-keys | 1.1.1 | MIT
object-visit | 1.0.1 | MIT
object.assign | 4.1.7 | MIT
object.defaults | 1.1.0 | MIT
object.map | 1.0.1 | MIT
object.pick | 1.3.0 | MIT
on-finished | 2.3.0 | MIT
on-finished | 2.4.1 | MIT
on-headers | 1.1.0 | MIT
once | 1.4.0 | ISC
one-time | 1.0.0 | MIT
opentype.js | 0.7.3 | MIT
os-homedir | 1.0.2 | MIT
os-tmpdir | 1.0.2 | MIT
osenv | 0.1.5 | ISC
otplib | 12.0.1 | MIT
p-cancelable | 0.4.1 | MIT
p-event | 2.3.1 | MIT
p-finally | 1.0.0 | MIT
p-is-promise | 1.1.0 | MIT
p-limit | 2.3.0 | MIT
p-locate | 4.1.0 | MIT
p-map | 4.0.0 | MIT
p-map | 7.0.3 | MIT
p-timeout | 2.0.1 | MIT
p-try | 2.2.0 | MIT
package-json-from-dist | 1.0.1 | BlueOak-1.0.0
pako | 0.2.9 | MIT
parse-filepath | 1.0.2 | MIT
parse-passwd | 1.0.0 | MIT
parseurl | 1.3.3 | MIT
pascalcase | 0.1.1 | MIT
path-exists | 4.0.0 | MIT
path-is-absolute | 1.0.1 | MIT
path-key | 3.1.1 | MIT
path-parse | 1.0.7 | MIT
path-root | 0.1.1 | MIT
path-root-regex | 0.1.2 | MIT
path-scurry | 1.11.1 | BlueOak-1.0.0
path-to-regexp | 0.1.12 | MIT
pdfkit | 0.11.0 | MIT
peek-readable | 4.1.0 | MIT
pend | 1.2.0 | MIT
pg-connection-string | 2.9.1 | MIT
picomatch | 2.3.1 | MIT
picomatch | 4.0.3 | MIT
pify | 2.3.0 | MIT
pify | 2.3.0 | MIT
pify | 3.0.0 | MIT
pify | 3.0.0 | MIT
pify | 4.0.1 | MIT
pinkie | 2.0.4 | MIT
pinkie-promise | 2.0.1 | MIT
png-js | 1.0.0 | MIT
posix-character-classes | 0.1.1 | MIT
possible-typed-array-names | 1.1.0 | MIT
prebuild-install | 5.3.6 | MIT
prebuild-install | 7.1.3 | MIT
prebuild-install | 7.1.3 | MIT
prepend-http | 2.0.0 | MIT
pretty-bytes | 4.0.2 | MIT
proc-log | 5.0.0 | ISC
process | 0.11.10 | MIT
process-nextick-args | 2.0.1 | MIT
prom-client | 14.2.0 | Apache-2.0
promise | 7.3.1 | MIT
promise-inflight | 1.0.1 | ISC
promise-retry | 2.0.1 | MIT
proper-lockfile | 1.2.0 | MIT
proxy-addr | 2.0.7 | MIT
pug | 3.0.3 | MIT
pug-attrs | 3.0.0 | MIT
pug-code-gen | 3.0.3 | MIT
pug-error | 2.1.0 | MIT
pug-filters | 4.0.0 | MIT
pug-lexer | 5.0.1 | MIT
pug-linker | 4.0.0 | MIT
pug-load | 3.0.0 | MIT
pug-parser | 6.0.0 | MIT
pug-runtime | 3.0.1 | MIT
pug-strip-comments | 2.0.0 | MIT
pug-walk | 2.0.0 | MIT
pump | 3.0.3 | MIT
qs | 6.13.0 | BSD-3-Clause
query-string | 5.1.1 | MIT
range-parser | 1.2.1 | MIT
range_check | 2.0.4 | BSD-2-Clause
raw-body | 2.5.2 | MIT
rc | 1.2.8 | (BSD-2-Clause OR MIT OR Apache-2.0)
readable-stream | 1.0.34 | MIT
readable-stream | 2.3.8 | MIT
readable-stream | 3.6.2 | MIT
readable-stream | 3.6.2 | MIT
readable-stream | 3.6.2 | MIT
readable-stream | 3.6.2 | MIT
readable-stream | 4.7.0 | MIT
readable-web-to-node-stream | 3.0.4 | MIT
readdirp | 3.5.0 | MIT
rechoir | 0.7.1 | MIT
regex-not | 1.0.2 | MIT
regexp.prototype.flags | 1.5.4 | MIT
remove-trailing-separator | 1.1.0 | ISC
repeat-element | 1.1.4 | MIT
repeat-string | 1.6.1 | MIT
replace | 1.2.2 | MIT
require-directory | 2.1.1 | MIT
require-main-filename | 2.0.0 | ISC
resolve | 1.22.10 | MIT
resolve-dir | 1.0.1 | MIT
resolve-url | 0.2.1 | MIT
responselike | 1.0.2 | MIT
restructure | 2.0.1 | MIT
ret | 0.1.15 | MIT
retry | 0.10.1 | MIT
retry | 0.12.0 | MIT
retry-as-promised | 7.1.1 | MIT
rimraf | 2.7.1 | ISC
rimraf | 2.7.1 | ISC
rimraf | 2.7.1 | ISC
rimraf | 3.0.2 | ISC
safe-buffer | 5.1.2 | MIT
safe-buffer | 5.1.2 | MIT
safe-buffer | 5.1.2 | MIT
safe-buffer | 5.2.1 | MIT
safe-regex | 1.1.0 | MIT
safe-regex-test | 1.1.0 | MIT
safe-stable-stringify | 2.5.0 | MIT
safer-buffer | 2.1.2 | MIT
samsam | 1.1.2 | BSD-3-Clause
sanitize-filename | 1.6.3 | WTFPL OR ISC
sanitize-html | 1.4.2 | MIT
sax | 1.4.1 | ISC
seek-bzip | 1.0.6 | MIT
semver | 5.7.2 | ISC
semver | 5.7.2 | ISC
semver | 5.7.2 | ISC
semver | 5.7.2 | ISC
semver | 7.7.2 | ISC
send | 0.19.0 | MIT
sequelize | 6.37.7 | MIT
sequelize-pool | 7.1.0 | MIT
serve-index | 1.9.1 | MIT
serve-static | 1.16.2 | MIT
set-blocking | 2.0.0 | ISC
set-function-length | 1.2.2 | MIT
set-function-name | 2.0.2 | MIT
set-value | 2.0.1 | MIT
setimmediate | 1.0.5 | MIT
setprototypeof | 1.1.0 | ISC
setprototypeof | 1.2.0 | ISC
shebang-command | 2.0.0 | MIT
shebang-regex | 3.0.0 | MIT
side-channel | 1.1.0 | MIT
side-channel-list | 1.0.0 | MIT
side-channel-map | 1.0.1 | MIT
side-channel-weakmap | 1.0.2 | MIT
signal-exit | 3.0.7 | ISC
signal-exit | 4.1.0 | ISC
simple-concat | 1.0.1 | MIT
simple-get | 3.1.1 | MIT
simple-get | 4.0.1 | MIT
simple-get | 4.0.1 | MIT
simple-swizzle | 0.2.2 | MIT
sinon | 1.17.7 | BSD-3-Clause
smart-buffer | 4.2.0 | MIT
snapdragon | 0.8.2 | MIT
snapdragon-node | 2.1.1 | MIT
snapdragon-util | 3.0.1 | MIT
socket.io | 3.1.2 | MIT
socket.io-adapter | 2.1.0 | MIT
socket.io-parser | 4.0.5 | MIT
socks | 2.8.7 | MIT
socks-proxy-agent | 6.2.1 | MIT
socks-proxy-agent | 8.0.5 | MIT
sort-keys | 1.1.2 | MIT
sort-keys | 2.0.0 | MIT
sort-keys-length | 1.0.1 | MIT
source-map | 0.5.7 | BSD-3-Clause
source-map | 0.6.1 | BSD-3-Clause
source-map-resolve | 0.5.3 | MIT
source-map-support | 0.5.21 | MIT
source-map-url | 0.4.1 | MIT
split-string | 3.1.0 | MIT
sprintf-js | 1.0.3 | BSD-3-Clause
sprintf-js | 1.1.3 | BSD-3-Clause
sqlite3 | 5.1.7 | BSD-3-Clause
ssri | 12.0.0 | ISC
ssri | 8.0.1 | ISC
stack-trace | 0.0.10 | MIT
static-extend | 0.1.2 | MIT
statuses | 1.5.0 | MIT
statuses | 2.0.1 | MIT
stop-iteration-iterator | 1.1.0 | MIT
stream-buffers | 2.2.0 | Unlicense
streamsearch | 1.1.0 | MIT
strict-uri-encode | 1.1.0 | MIT
string-width | 1.0.2 | MIT
string-width | 2.1.1 | MIT
string-width | 4.2.3 | MIT
string-width | 4.2.3 | MIT
string-width | 5.1.2 | MIT
string-width | 5.1.2 | MIT
string.fromcodepoint | 0.2.1 | MIT
string.prototype.codepointat | 0.2.1 | MIT
string_decoder | 0.10.31 | MIT
string_decoder | 1.1.1 | MIT
string_decoder | 1.3.0 | MIT
strip-ansi | 3.0.1 | MIT
strip-ansi | 3.0.1 | MIT
strip-ansi | 4.0.0 | MIT
strip-ansi | 6.0.1 | MIT
strip-ansi | 6.0.1 | MIT
strip-ansi | 7.1.0 | MIT
strip-ansi | 7.1.0 | MIT
strip-bom | 3.0.0 | MIT
strip-dirs | 2.1.0 | MIT
strip-json-comments | 2.0.1 | MIT
strip-json-comments | 2.0.1 | MIT
strip-outer | 1.0.1 | MIT
strtok3 | 6.3.0 | MIT
supports-color | 2.0.0 | MIT
supports-color | 5.5.0 | MIT
supports-color | 7.2.0 | MIT
supports-preserve-symlinks-flag | 1.0.0 | MIT
svg-captcha | 1.4.0 | MIT
swagger-ui-dist | 5.28.1 | Apache-2.0
swagger-ui-express | 5.0.1 | MIT
tar | 4.4.19 | ISC
tar | 6.2.1 | ISC
tar | 7.4.3 | ISC
tar-fs | 2.1.3 | MIT
tar-stream | 1.6.2 | MIT
tar-stream | 2.2.0 | MIT
tdigest | 0.1.2 | MIT
text-hex | 1.0.0 | MIT
thirty-two | 1.0.2 | MIT
through | 2.3.8 | MIT
timed-out | 4.0.1 | MIT
tiny-inflate | 1.0.3 | MIT
tinyglobby | 0.2.14 | MIT
to-buffer | 1.2.1 | MIT
to-object-path | 0.3.0 | MIT
to-regex | 3.0.2 | MIT
to-regex-range | 2.1.1 | MIT
to-regex-range | 5.0.1 | MIT
to-regex-range | 5.0.1 | MIT
to-regex-range | 5.0.1 | MIT
toidentifier | 1.0.1 | MIT
token-stream | 1.0.0 | MIT
token-types | 4.2.1 | MIT
tr46 | 0.0.3 | MIT
traverse | 0.3.9 | MIT/X11
tree-kill | 1.2.2 | MIT
trim-repeated | 1.0.0 | MIT
triple-beam | 1.4.1 | MIT
truncate-utf8-bytes | 1.0.2 | WTFPL
ts-node | 9.1.1 | MIT
ts-node-dev | 1.1.8 | MIT
tsconfig | 7.0.0 | MIT
tslib | 2.7.0 | 0BSD
tunnel-agent | 0.6.0 | Apache-2.0
type-is | 1.6.18 | MIT
typecast | 0.0.1 | MIT
typed-array-buffer | 1.0.3 | MIT
typedarray | 0.0.6 | MIT
typescript | 5.3.3 | Apache-2.0
tzdata | 2025b-0+deb12u1 | public-domain
uglify-js | 3.19.3 | BSD-2-Clause
unbzip2-stream | 1.4.3 | MIT
unc-path-regex | 0.1.2 | MIT
underscore.string | 3.3.6 | MIT
undici-types | 6.19.8 | MIT
undici-types | 6.21.0 | MIT
unicode-properties | 1.4.1 | MIT
unicode-trie | 2.0.0 | MIT
union-value | 1.0.1 | MIT
unique-filename | 1.1.1 | ISC
unique-filename | 4.0.0 | ISC
unique-slug | 2.0.2 | ISC
unique-slug | 5.0.0 | ISC
unit-compare | 1.0.1 | ISC
universalify | 2.0.1 | MIT
unpipe | 1.0.0 | MIT
unset-value | 1.0.0 | MIT
untildify | 2.1.0 | MIT
unzipper | 0.9.15 | MIT
urix | 0.1.0 | MIT
url-parse-lax | 3.0.0 | MIT
url-to-options | 1.0.1 | MIT
use | 3.1.1 | MIT
utf8-byte-length | 1.0.5 | (WTFPL OR MIT)
util | 0.12.5 | MIT
util-deprecate | 1.0.2 | MIT
utils-merge | 1.0.1 | MIT
uuid | 8.3.2 | MIT
v8flags | 3.2.0 | MIT
validate | 4.5.1 | MIT
validator | 13.15.15 | MIT
vary | 1.1.2 | MIT
vm2 | 3.9.17 | MIT
void-elements | 3.1.0 | MIT
walk | 2.3.15 | (MIT OR Apache-2.0)
walkdir | 0.0.11 | MIT
web3 | 4.16.0 | LGPL-3.0
web3-core | 4.7.1 | LGPL-3.0
web3-errors | 1.3.1 | LGPL-3.0
web3-eth | 4.11.1 | LGPL-3.0
web3-eth-abi | 4.4.1 | LGPL-3.0
web3-eth-accounts | 4.3.1 | LGPL-3.0
web3-eth-contract | 4.7.2 | LGPL-3.0
web3-eth-ens | 4.4.0 | LGPL-3.0
web3-eth-iban | 4.0.7 | LGPL-3.0
web3-eth-personal | 4.1.0 | LGPL-3.0
web3-net | 4.1.0 | LGPL-3.0
web3-providers-http | 4.2.0 | LGPL-3.0
web3-providers-ipc | 4.0.7 | LGPL-3.0
web3-providers-ws | 4.0.8 | LGPL-3.0
web3-rpc-methods | 1.3.0 | LGPL-3.0
web3-rpc-providers | 1.0.0-rc.4 | LGPL-3.0
web3-types | 1.10.0 | LGPL-3.0
web3-utils | 4.3.3 | LGPL-3.0
web3-validator | 2.0.6 | LGPL-3.0
webidl-conversions | 3.0.1 | BSD-2-Clause
whatwg-url | 5.0.0 | MIT
which | 1.3.1 | ISC
which | 2.0.2 | ISC
which | 5.0.0 | ISC
which-boxed-primitive | 1.1.1 | MIT
which-collection | 1.0.2 | MIT
which-module | 2.0.1 | ISC
which-pm-runs | 1.1.0 | MIT
which-typed-array | 1.1.19 | MIT
wide-align | 1.1.3 | ISC
wide-align | 1.1.5 | ISC
winston | 3.17.0 | MIT
winston-transport | 4.9.0 | MIT
with | 7.0.2 | MIT
wkx | 0.5.0 | MIT
wordwrap | 0.0.3 | MIT
wordwrap | 1.0.0 | MIT
wrap-ansi | 6.2.0 | MIT
wrap-ansi | 7.0.0 | MIT
wrap-ansi | 8.1.0 | MIT
wrappy | 1.0.2 | ISC
ws | 7.4.6 | MIT
ws | 8.17.1 | MIT
xtend | 4.0.2 | MIT
y18n | 4.0.3 | ISC
yallist | 3.1.1 | ISC
yallist | 4.0.0 | ISC
yallist | 4.0.0 | ISC
yallist | 4.0.0 | ISC
yallist | 4.0.0 | ISC
yallist | 5.0.0 | BlueOak-1.0.0
yaml-schema-validator | 1.2.3 | MIT
yargs | 15.4.1 | MIT
yargs-parser | 18.1.3 | ISC
yauzl | 2.10.0 | MIT
yn | 3.1.1 | MIT
z85 | 0.0.2 | MIT
zip-stream | 1.2.0 | MIT
zod | 3.25.76 | MIT
